[2024-01-11 22:50:03.384] $GNRMC,235943.012,V,,,,,,,050180,,,N,V*2C
[2024-01-11 22:50:03.387] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:50:04.355] $GNGGA,235944.012,,,,,0,0,,,M,,M,,*58
[2024-01-11 22:50:04.359] $GNGLL,,,,,235944.012,V,N*6A
[2024-01-11 22:50:04.362] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:50:04.364] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:50:04.368] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:50:04.370] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:50:04.373] $GPGSV,1,1,00,1*64
[2024-01-11 22:50:04.374] $GLGSV,1,1,00,1*78
[2024-01-11 22:50:04.376] $GAGSV,1,1,00,7*73
[2024-01-11 22:50:04.378] $GBGSV,1,1,00,1*76
[2024-01-11 22:50:04.380] $GBGSV,1,1,00,3*74
[2024-01-11 22:50:04.382] $GNRMC,235944.012,V,,,,,,,050180,,,N,V*2B
[2024-01-11 22:50:04.387] $GNVTG,,T,,M,,N,,K,N*32
[2024-01-11 22:50:05.355] $GNGGA,235945.012,,,,,0,0,,,M,,M,,*59
[2024-01-11 22:50:05.364] $GNGLL,,,,,235945.012,V,N*6B
[2024-01-11 22:50:05.364] $GNGSA,A,1,,,,,,,,,,,,,,,,1*1D
[2024-01-11 22:50:05.369] $GNGSA,A,1,,,,,,,,,,,,,,,,2*1E
[2024-01-11 22:50:05.369] $GNGSA,A,1,,,,,,,,,,,,,,,,3*1F
[2024-01-11 22:50:05.374] $GNGSA,A,1,,,,,,,,,,,,,,,,4*18
[2024-01-11 22:50:05.374] $GPGSV,1,1,00,1*64
[2024-01-11 22:50:05.380] $GLGSV,1,1,00,1*78
[2024-01-11 22:50:05.380] $GAGSV,1,1,00,7*73
[2024-01-11 22:50:05.380] $GBGSV,1,1,00,1*76
[2024-01-11 22:50:05.386] $GBGSV,1,1,00,3*74
